"","year","step","area","length","age","num","fleet"
"436",1985,1,"area1","allages","len49",195,"SpPal"
"437",1985,1,"area1","allages","len50",282,"SpPal"
"438",1985,1,"area1","allages","len51",215,"SpPal"
"439",1985,1,"area1","allages","len52",218,"SpPal"
"440",1985,1,"area1","allages","len53",169,"SpPal"
"441",1985,1,"area1","allages","len54",174,"SpPal"
"442",1985,1,"area1","allages","len55",150,"SpPal"
"443",1985,1,"area1","allages","len56",167,"SpPal"
"444",1985,1,"area1","allages","len57",132,"SpPal"
"445",1985,1,"area1","allages","len58",143,"SpPal"
"446",1985,1,"area1","allages","len59",110,"SpPal"
"447",1985,1,"area1","allages","len60",155,"SpPal"
"448",1985,1,"area1","allages","len61",65,"SpPal"
"449",1985,1,"area1","allages","len62",90,"SpPal"
"450",1985,1,"area1","allages","len63",22,"SpPal"
"451",1985,1,"area1","allages","len64",61,"SpPal"
"452",1985,1,"area1","allages","len65",36,"SpPal"
"453",1985,1,"area1","allages","len66",19,"SpPal"
"454",1985,1,"area1","allages","len67",22,"SpPal"
"455",1985,1,"area1","allages","len68",13,"SpPal"
"456",1985,1,"area1","allages","len69",8,"SpPal"
"457",1985,1,"area1","allages","len70",12,"SpPal"
"458",1985,1,"area1","allages","len71",10,"SpPal"
"459",1985,1,"area1","allages","len72",9,"SpPal"
"460",1985,1,"area1","allages","len73",4,"SpPal"
"461",1985,1,"area1","allages","len74",7,"SpPal"
"462",1985,1,"area1","allages","len75",10,"SpPal"
"463",1985,1,"area1","allages","len76",5,"SpPal"
"464",1985,1,"area1","allages","len77",6,"SpPal"
"465",1985,1,"area1","allages","len78",4,"SpPal"
"466",1985,1,"area1","allages","len79",2,"SpPal"
"467",1985,1,"area1","allages","len80",5,"SpPal"
"468",1985,1,"area1","allages","len81",0,"SpPal"
"469",1985,1,"area1","allages","len82",0,"SpPal"
"470",1985,1,"area1","allages","len83",0,"SpPal"
"471",1985,1,"area1","allages","len84",0,"SpPal"
"472",1985,1,"area1","allages","len85",0,"SpPal"
"473",1985,1,"area1","allages","len86",0,"SpPal"
"474",1985,1,"area1","allages","len87",0,"SpPal"
"475",1985,1,"area1","allages","len88",0,"SpPal"
"476",1985,1,"area1","allages","len89",0,"SpPal"
"477",1985,1,"area1","allages","len90",0,"SpPal"
"478",1985,1,"area1","allages","len91",0,"SpPal"
"479",1985,1,"area1","allages","len92",0,"SpPal"
"480",1985,1,"area1","allages","len93",0,"SpPal"
"481",1985,1,"area1","allages","len94",0,"SpPal"
"482",1985,1,"area1","allages","len95",0,"SpPal"
"483",1985,1,"area1","allages","len96",0,"SpPal"
"484",1985,1,"area1","allages","len97",0,"SpPal"
"485",1985,1,"area1","allages","len98",0,"SpPal"
"486",1985,1,"area1","allages","len99",0,"SpPal"
"487",1985,1,"area1","allages","len100",0,"SpPal"
"488",1985,1,"area1","allages","len101",0,"SpPal"
"489",1985,1,"area1","allages","len102",0,"SpPal"
"490",1985,1,"area1","allages","len103",0,"SpPal"
"491",1985,1,"area1","allages","len104",0,"SpPal"
"492",1985,1,"area1","allages","len105",0,"SpPal"
"493",1985,1,"area1","allages","len106",0,"SpPal"
"494",1985,1,"area1","allages","len107",0,"SpPal"
"495",1985,1,"area1","allages","len108",0,"SpPal"
"496",1985,1,"area1","allages","len109",0,"SpPal"
"497",1985,1,"area1","allages","len110",0,"SpPal"
"498",1985,1,"area1","allages","len111",0,"SpPal"
"499",1985,1,"area1","allages","len112",0,"SpPal"
